iter	Logloss
0	0.6689594073
1	0.6474985587
2	0.6280619057
3	0.6111090489
4	0.5956837325
5	0.5824351421
6	0.5702251876
7	0.559633889
8	0.5502251991
9	0.5413437493
10	0.5336067758
11	0.526458643
12	0.5201457303
13	0.5145869311
14	0.5097020402
15	0.5053565707
16	0.501598099
17	0.4975845882
18	0.494723469
19	0.4917487826
20	0.4888356852
21	0.4862994167
22	0.4843249155
23	0.4815747883
24	0.479547639
25	0.4779451067
26	0.4760165688
27	0.4745060023
28	0.4731921314
29	0.4719700813
30	0.4707910951
31	0.4695106838
32	0.468692131
33	0.4676945516
34	0.4665702369
35	0.4654454903
36	0.464437289
37	0.4627961362
38	0.4621407311
39	0.4615750026
40	0.4606375421
41	0.459973862
42	0.4595822147
43	0.458988877
44	0.4583853066
45	0.4568213883
46	0.4552676426
47	0.454619106
48	0.4541665562
49	0.4536757076
50	0.4531399803
51	0.4524177093
52	0.4519355649
53	0.451556621
54	0.4511563092
55	0.4509531498
56	0.4505005234
57	0.4497956978
58	0.4494410774
59	0.4486841481
60	0.4481729724
61	0.4479248051
62	0.4474133047
63	0.4470406482
64	0.4464637717
65	0.4455339676
66	0.4454215859
67	0.4452693252
68	0.4448475475
69	0.4439084547
70	0.4435899254
71	0.4431735493
72	0.4430796975
73	0.4428898842
74	0.4425617881
75	0.442282438
76	0.4419785451
77	0.4419573339
78	0.4413739146
79	0.4410244391
80	0.4406800924
81	0.4403438689
82	0.4396236473
83	0.4391581035
84	0.4379211652
85	0.4377243076
86	0.4375268639
87	0.4372673547
88	0.4370970885
89	0.4367034972
90	0.4364381914
91	0.4356766239
92	0.4354557803
93	0.4351870806
94	0.4350299005
95	0.4347415946
96	0.4340100934
97	0.4338426348
98	0.4334307452
99	0.4332152035
100	0.4330171396
101	0.4324561023
102	0.432028866
103	0.4319379675
104	0.4312773584
105	0.4305548171
106	0.4302518902
107	0.4300133421
108	0.428852369
109	0.4286143189
110	0.4283626074
111	0.4279987557
112	0.4276205914
113	0.4274144526
114	0.4271181291
115	0.4268977399
116	0.4262730248
117	0.425974244
118	0.4256136148
119	0.4254616484
120	0.4253889649
121	0.4252947157
122	0.4248024332
123	0.4246686663
124	0.4243332074
125	0.4241892076
126	0.4239165871
127	0.4238056909
128	0.4237842935
129	0.4236163049
130	0.4234551073
131	0.4233741422
132	0.4231474803
133	0.4230134601
134	0.4228627822
