iter	Passed	Remaining
0	119	59741
1	220	54920
2	361	59810
3	507	62937
4	640	63445
5	772	63575
6	891	62769
7	1008	62002
8	1141	62280
9	1295	63495
10	1525	67824
11	1707	69445
12	1896	71039
13	2120	73601
14	2441	78931
15	2687	81296
16	2968	84352
17	3183	85259
18	3365	85206
19	3528	84681
20	3695	84293
21	3861	83894
22	4025	83495
23	4179	82893
24	4328	82247
25	4479	81666
26	4620	80938
27	4758	80214
28	4933	80131
29	5113	80109
30	5268	79709
31	5419	79259
32	5574	78892
33	5722	78436
34	5817	77289
35	5980	77080
36	6146	76909
37	6328	76935
38	6520	77069
39	6706	77129
40	6855	76753
41	6990	76226
42	7157	76071
43	7328	75953
44	7507	75908
45	7664	75646
46	7819	75363
47	8003	75365
48	8198	75456
49	8342	75084
50	8516	74975
51	8667	74674
52	8840	74564
53	9004	74369
54	9141	73960
55	9311	73828
56	9492	73778
57	9651	73554
58	9814	73362
59	9984	73216
60	10146	73021
61	10294	72723
62	10463	72577
63	10611	72288
64	10750	71947
65	10885	71583
66	11029	71278
67	11197	71134
68	11343	70853
69	11503	70667
70	11657	70436
71	11844	70410
72	11992	70149
73	12137	69874
74	12277	69571
75	12436	69380
76	12596	69200
77	12754	69003
78	12901	68752
79	13032	68419
80	13158	68068
81	13302	67811
82	13469	67671
83	13640	67552
84	13803	67394
85	13951	67163
86	14110	66982
87	14276	66838
88	14442	66695
89	14628	66638
90	14815	66590
91	14999	66518
92	15182	66442
93	15346	66281
94	15511	66126
95	15668	65940
96	15827	65756
97	15995	65615
98	16162	65467
99	16329	65316
100	16506	65207
101	16697	65153
102	16946	65318
103	17162	65350
104	17351	65273
105	17601	65424
106	17826	65476
107	17997	65325
108	18173	65190
109	18330	64990
110	18491	64804
111	18634	64553
112	18780	64317
113	18932	64106
114	19071	63849
115	19214	63607
116	19348	63337
117	19493	63105
118	19633	62860
119	19784	62651
120	19939	62456
121	20084	62227
122	20217	61968
123	20358	61732
124	20498	61496
125	20655	61312
126	20822	61157
127	20971	60947
128	21116	60730
129	21291	60598
130	21434	60375
131	21631	60304
132	21825	60225
133	22064	60265
134	22253	60167
135	22447	60079
136	22643	59997
137	22836	59905
138	22991	59710
139	23173	59589
140	23323	59385
141	23490	59222
142	23659	59066
143	23826	58903
144	23977	58703
145	24121	58485
146	24193	58096
147	24324	57853
148	24447	57590
149	24595	57388
150	24729	57155
151	24855	56906
152	24983	56661
153	25106	56408
154	25240	56181
155	25388	55983
156	25588	55904
157	25766	55773
158	25916	55582
159	26066	55390
160	26233	55237
161	26372	55023
162	26461	54708
163	26620	54539
164	26781	54374
165	26934	54193
166	27078	53994
167	27224	53801
168	27284	53439
169	27455	53296
170	27642	53183
171	27797	53009
172	27932	52797
173	28057	52567
174	28174	52323
175	28299	52097
176	28418	51859
177	28551	51648
178	28667	51409
179	28780	51165
180	28889	50916
181	29001	50672
182	29117	50437
183	29238	50214
184	29349	49972
185	29474	49758
186	29632	49599
187	29786	49432
188	29941	49268
189	30081	49080
190	30192	48845
191	30319	48638
192	30453	48441
193	30601	48267
194	30734	48071
195	30888	47908
196	31055	47765
197	31199	47587
198	31325	47381
199	31436	47154
200	31562	46950
201	31759	46852
202	31939	46729
203	32121	46607
204	32316	46504
205	32500	46384
206	32724	46320
207	32955	46264
208	33189	46211
209	33461	46208
210	33701	46159
211	33969	46147
212	34185	46061
213	34410	45987
214	34608	45875
215	34792	45745
216	34950	45580
217	35089	45391
218	35229	45203
219	35363	45008
220	35511	44831
221	35649	44642
222	35799	44468
223	35982	44335
224	36162	44198
225	36315	44028
226	36464	43853
227	36625	43693
228	36766	43509
229	36894	43310
230	37017	43106
231	37142	42906
232	37263	42701
233	37381	42493
234	37531	42322
235	37699	42172
236	37853	42006
237	38001	41833
238	38135	41645
239	38271	41460
240	38402	41270
241	38543	41091
242	38685	40914
243	38826	40735
244	38974	40565
245	39128	40400
246	39282	40236
247	39418	40054
248	39554	39872
249	39709	39709
250	39851	39533
251	39998	39363
252	40136	39184
253	40266	38998
254	40396	38812
255	40520	38620
256	40658	38443
257	40783	38254
258	40905	38062
259	41029	37873
260	41147	37679
261	41297	37514
262	41465	37366
263	41649	37232
264	41836	37100
265	42009	36955
266	42174	36804
267	42347	36659
268	42532	36524
269	42713	36385
270	42879	36233
271	43049	36085
272	43187	35910
273	43361	35765
274	43513	35601
275	43685	35454
276	43836	35290
277	44006	35142
278	44158	34978
279	44320	34823
280	44456	34647
281	44588	34469
282	44733	34300
283	44874	34130
284	45013	33957
285	45166	33795
286	45327	33640
287	45474	33474
288	45617	33305
289	45768	33142
290	45904	32969
291	46036	32792
292	46168	32617
293	46287	32432
294	46410	32251
295	46538	32074
296	46666	31896
297	46810	31730
298	46932	31549
299	47052	31368
300	47169	31185
301	47281	30999
302	47395	30814
303	47502	30626
304	47617	30443
305	47736	30264
306	47849	30081
307	47961	29897
308	48071	29714
309	48187	29534
310	48308	29357
311	48418	29175
312	48531	28994
313	48645	28815
314	48768	28641
315	48893	28469
316	49015	28296
317	49139	28123
318	49264	27952
319	49390	27782
320	49535	27622
321	49721	27486
322	49911	27350
323	50071	27199
324	50229	27046
325	50378	26888
326	50538	26737
327	50688	26580
328	50854	26432
329	51027	26287
330	51201	26142
331	51359	25988
332	51505	25830
333	51644	25667
334	51792	25509
335	51933	25348
336	52068	25184
337	52198	25018
338	52332	24853
339	52458	24686
340	52584	24518
341	52700	24346
342	52821	24177
343	52940	24007
344	53062	23839
345	53183	23671
346	53300	23501
347	53433	23338
348	53576	23180
349	53721	23023
350	53880	22872
351	54032	22718
352	54168	22557
353	54314	22400
354	54465	22246
355	54605	22087
356	54746	21929
